время,6068
жизнь,4017
слово,2639
право,2317
место,2225
народ,2026
образ,1656
форма,1506
конец,1492
город,1423
мысль,1357
рынок,1328
часть,1322
смысл,1314
земля,1254
дверь,1206
война,1141
голос,1038
число,972
закон,944
наука,799
книга,797
связь,787
бытие,761
улица,759
ответ,742
семья,721
месяц,619
судно,603
плечо,597
школа,590
нефть,590
точка,568
палец,563
стена,556
армия,541
вечер,538
сфера,524
флора,520
центр,517
страх,511
спина,509
спрос,497
автор,496
кровь,483
рубль,483
ветер,470
товар,456
разум,455
совет,449
берег,446
выход,440
метод,440
черта,438
успех,435
масса,435
глава,433
класс,433
гость,432
орган,426
эпоха,387
путин,384
волна,379
целое,364
волос,355
толпа,354
грудь,342
линия,338
слеза,337
поиск,326
текст,324
огонь,323
номер,319
выбор,317
повод,311
песня,302
доход,302
запад,296
вывод,294
тайна,293
среда,285
норма,278
моряк,277
дождь,277
кухня,270
мужик,267
запах,263
рамка,263
вождь,262
каюта,258
немец,256
лидер,250
осень,245
герой,244
слава,242
нация,239
прием,234
карта,222
птица,219
фраза,219
поезд,218
весна,218
район,212
объем,211
строй,209
роман,208
майор,207
поток,204
порог,204
смена,204
благо,201
сотня,199
покой,198
трава,196
фильм,196
отдел,195
еврей,192
отряд,186
сосед,186
фронт,184
режим,182
агент,180
водка,178
кусок,178
запас,178
сумка,177
полка,177
схема,177
вагон,174
племя,174
честь,172
акция,172
сцена,166
адрес,163
вызов,163
поход,163
замок,159
мечта,158
жилье,158
сумма,158
сутки,155
крыло,154
живот,153
океан,153
крыша,151
доска,151
завод,151
лента,151
хвост,150
тропа,150
буква,150
фирма,149
полет,146
шутка,145
канал,145
элита,145
тоска,144
стиль,144
заказ,144
труба,142
дурак,142
диван,140
кулак,140
тетка,139
мороз,139
пятно,138
собор,134
мешок,132
билет,132
пауза,132
крест,132
туман,131
сюжет,131
музей,130
отдых,130
обида,129
зверь,129
театр,128
рукав,128
экран,125
пункт,125
крыса,125
горло,124
сапог,124
озеро,122
отказ,122
налог,122
сырье,122
ручка,121
кость,120
бровь,120
цифра,120
радио,119
песок,116
кошка,115
биржа,115
масло,114
нужда,114
монах,114
танец,112
добро,112
лодка,111
дочка,111
шляпа,110
